SYMBOL	group	notes	
A4GALT	glyco		
ABO	glyco		
ADH1B	tumor_marker		
ALDH1A1	tumor_marker		
ALDH1A2	tumor_marker		
ALDH1A3	tumor_marker		
ALG8	relevant_pathways		
ANGPT1	drug_target		
ANGPT2	drug_target		
AR	tumor_marker		
ARID1A	drug_target		
B3GALNT1	glyco		
B3GALT5	glyco		
B3GNT3	glyco		
B3GNT5	glyco		
BARD1	cell_status		
BCL2	drug_target		
BRAF	drug_target		
BRCA1	drug_target		
BRCA2	drug_target		
PARP1	cell_status		
CAV1	microenvironment		
CAV2	em_transition		
FGFBP1	em_transition		
CCNE1	drug_target		
MSR1	drug_target		
PROM1	tumor_marker		
CD24	tumor_marker		
ITGB1	immunoregulatory		
VSIR	immunoregulatory		
PECAM1	microenvironment		
CD44	tumor_marker		
PTPRC	immunoregulatory		
CD47	immunoregulatory		
B2M	immunoregulatory		
HLA-A	immunoregulatory		NA
HLA-B	immunoregulatory		NA
HLA-C	immunoregulatory		NA
CDH1	em_transition		E-Cadherin
CDH2	em_transition	N-Cadherin	
CDH3	em_transition		P-Cadherin
SPP1	em_transition		
CXXC1	em_transition		also an alias of SPP1
CDK12	drug_target		
CDK4	drug_target		
CDK6	drug_target		
KDM5B	drug_target		
ABCB5	drug_target		
KRT14	tumor_marker		
KRT5	tumor_marker		
KRT6A	tumor_marker		
KRT6B	tumor_marker		
KRT8	tumor_marker		
KRT18	tumor_marker		
CLDN1	em_transition	Fibroblast marker	
CLDN2	em_transition		
CLDN3	em_transition		
CLDN4	em_transition		
CLDN5	em_transition		
C1GALT1C1	glyco		
CSMD3	relevant_pathways		
CTCF	relevant_pathways		
DDR1	drug_target		
DNMT1	drug_target		
E2F3	relevant_pathways		
EGFR	drug_target		
EPCAM	em_transition	Epithelial marker	
TJP1	em_transition		ZO-1
ESR1	drug_target		
ESR2	drug_target		
ERBB2	drug_target		
EMSY	drug_target	C11orf30	
EZH2	relevant_pathways		
FABP4	tumor_marker		
FAP	microenvironment		
FGFR1	drug_target		
FOXP3	immunoregulatory		
S100A4	microenvironment		
FUT1	glyco		
FUT2	glyco		
FUT8	glyco		
GAS6	relevant_pathways		
NR3C1	cell_status		
WFDC2	tumor_marker		
ERBB3	drug_target		
ITGA2	relevant_pathways		
ITGA4	relevant_pathways		
ITGA5	relevant_pathways		
ITGB1	relevant_pathways		
KDM6A	relevant_pathways		
MKI67	cell_status		
KRAS	drug_target		
KRT19	tumor_marker		
KRT7	tumor_marker		
L1CAM	tumor_marker		
LATS1	relevant_pathways		
LATS2	relevant_pathways		
ABCB1	relevant_pathways		
ABCC1	relevant_pathways		
ABCC2	relevant_pathways		
ABCG2	relevant_pathways		
MECOM	tumor_marker		
MAP2K1	drug_target		
MAP2K2	drug_target		
MELK	drug_target		
MGAT3	glyco		
MGAT5	glyco		
MSLN	tumor_marker		
MUC1	tumor_marker	negative regulation of cell cycle	
MUC16	tumor_marker	HGSOC marker	
MYC	drug_target		
NF1	drug_target		
NRG1	relevant_pathways		
PAX8	tumor_marker	HGSOC marker_ secretory cell marker	
PCNA	cell_status		
PDCD1LG2	immunoregulatory		
PDGFRB	drug_target		
PIAS3	microenvironment		
PIK3CA	drug_target		
PTEN	drug_target		
RB1	drug_target		
ROR1	drug_target		
ROR2	drug_target		
SFRP4	relevant_pathways		
