Mesenchymal 	Pericyte_signature_UM
Mesenchymal 	Pericyte_not_Fibroblast
Mesenchymal 	Mesenchymal_Stem_Cells1
Mesenchymal 	Mesenchymal_Stem_Cell2_Adipose
Mesenchymal 	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_
Mesenchymal 	GO_REGULATION_OF_MESENCHYMAL_STEM_CELL_DIFFERENTIATION
Mesenchymal 	GO_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION
Mesenchymal 	GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION
Mesenchymal 	GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
Mesenchymal 	GO_MESENCHYMAL_STEM_CELL_DIFFERENTIATION
Mesenchymal 	GO_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING
Mesenchymal 	GO_MESENCHYMAL_CELL_PROLIFERATION
Mesenchymal 	GO_MESENCHYMAL_STEM_CELL_PROLIFERATION
Mesenchymal 	GO_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING
Mesenchymal 	GO_FIBROBLAST_ACTIVATION
Mesenchymal 	GO_FIBROBLAST_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY
Mesenchymal 	GO_FIBROBLAST_GROWTH_FACTOR_BINDING
Mesenchymal 	GO_FIBROBLAST_GROWTH_FACTOR_PRODUCTION
Mesenchymal 	GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING
Mesenchymal 	GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
Mesenchymal 	GO_FIBROBLAST_MIGRATION
Mesenchymal 	GO_FIBROBLAST_PROLIFERATION
Mesenchymal 	GO_MYOFIBROBLAST_DIFFERENTIATION
Mesenchymal 	GO_POSITIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
Mesenchymal 	GO_TYPE_1_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING
Mesenchymal 	GO_TYPE_2_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING
Mesenchymal 	GO_PERICYTE_CELL_DIFFERENTIATION
Mesenchymal 	GO_RELAXATION_OF_SMOOTH_MUSCLE
Mesenchymal 	GO_SMOOTH_MUSCLE_CONTRACTION
Mesenchymal 	GO_SMOOTH_MUSCLE_CELL_DIFFERENTIATION
Mesenchymal 	GO_SMOOTH_MUSCLE_CELL_MIGRATION
Mesenchymal 	GO_SMOOTH_MUSCLE_TISSUE_DEVELOPMENT
Mesenchymal 	GO_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DEVELOPMENT
Mesenchymal 	GO_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION
Mesenchymal 	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
Mesenchymal 	REACTOME_SMOOTH_MUSCLE_CONTRACTION
