gene	Mesenchymal.progenitor_2	Mesenchymal.progenitor_8	Mesothelial_4	T.NK_20	Mesothelial_18	T.NK_11	Mesothelial_1	T.NK_22	T.NK_3	Monocyte.Macrophage_15	Mesothelial_13	T.NK_17	T.NK_19	B.cells_16	Endothelial_9	Neutrophils_5	Noise_7	Tumor_HGSOC_14	Mast.cells_25	EMT_24	T.NK_23	Lymphatic.endothelial_6	Plasma_21	T.NK_12	Plasmacytoid.dendritic_10
SAMD11	0.0052	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0123	0	0.0025	0	0	0	0	0
NOC2L	0.0017	5e-04	0.0062	0.007	0.0066	0.0035	0.0021	0.0036	9e-04	0.0035	0.0159	0	0.001	0.0226	0.0173	0	0.0059	0.2945	0.0072	0.0157	0.0012	0.0095	0.0014	0	0.0024
KLHL17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0.003	0.0031	0	0	0	0	0	0	0
HES4	0.0465	8e-04	0.0056	0.0083	0.0077	0.0213	7e-04	0.0134	0.002	0.1811	0.0443	0.0015	0.006	0.0145	0.2227	0.0355	0.0237	0.6961	0.1775	0.5648	0	0.5111	0.0209	0.0032	0.9439
ISG15	0.036	0.0472	0.0416	1.2417	0.1416	0.5861	0.0569	0.7069	0.2949	1.2647	0.2618	0.7112	2.1425	0.2505	0.9069	0.3723	0.2166	1.0792	0.2998	0.9598	0.3755	0.346	1.5802	2.0524	1.5537
AGRN	0	0	4e-04	0	0.0247	0.0018	0.0066	0	0	3e-04	0.0054	0	0	0	0.0963	0	0.0059	0.2452	0	0.0054	0	0.0032	0.0014	0	0
C1orf159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	7e-04	0.0035	0	0.04	0	0.3312	0.0611	0	0	0.0361	1.6991	0.0021	0	0.0038	0.0237	0.017	0.1055	0	0.0117	0	0.1492	0.5919	0.0976
TNFRSF4	0	0	6e-04	0.0027	0	0.0301	0	0.0455	0.0725	0.0022	8e-04	0.1092	1.6882	0.0034	0.0546	0.0027	0.0148	0.0087	0.0695	0	0.0303	0.0127	0.1102	0.2782	0.061
