SYMBOL	group	notes
CD3D	celltype_marker	 
CD3E	celltype_marker	 
CD3G	celltype_marker	 
KLRC1	celltype_marker	 
UPK3B	celltype_marker	 
CALB2	celltype_marker	 
MSLN	celltype_marker	 
ITLN1	celltype_marker	 
CD34	celltype_marker	 
NT5E	celltype_marker	 
THY1	celltype_marker	 
CFD	celltype_marker	 
LYZ	celltype_marker	 
CD14	celltype_marker	 
CD68	celltype_marker	 
CD163	celltype_marker	 
CSF3R	celltype_marker	 
CXCR2	celltype_marker	 
S100A8	celltype_marker	 
LILRA4	celltype_marker	 
IL3RA	celltype_marker	 
GZMB	celltype_marker	 
KIT	celltype_marker	 
CPA3	celltype_marker	 
TPSAB1	celltype_marker	 
PECAM1	celltype_marker	 
CLDN5	celltype_marker	 
VWF	celltype_marker	 
PROX1	celltype_marker	 
LYVE1	celltype_marker	 
EPCAM	celltype_marker	 
PAX8	celltype_marker	 
CD24	celltype_marker	 
CD79A	celltype_marker	 
MS4A1	celltype_marker	 
JCHAIN	celltype_marker	 
SDC1	celltype_marker	 
XBP1	celltype_marker	 
TWIST1	celltype_marker	 
SERPINE1	celltype_marker	 
SMAD7	celltype_marker	 
CDH1	celltype_marker	 
CDH2	celltype_marker	 
VIM	celltype_marker	 
FN1	celltype_marker	 
THY1	celltype_marker	 
SPARC	celltype_marker	 
TNF	celltype_marker	 
SPP1	celltype_marker	 
