cell_type	colour	class	indications
T.cells.Om_group_0.5.10	blue2	Major	Omentum
T.cell.Om.sub.g0	cyan2	Subtype	Omentum
T.cell.Om.sub.g5	steelblue1	Subtype	Omentum
T.cell.Om.sub.g10	mediumpurple1	Subtype	Omentum
Myeloid.cells.Om_group_12.14	chocolate4	Major	Omentum
Myeloid.cell.Om.sub.g12	gold	Subtype	Omentum
Myeloid.cell.Om.sub.g14	lightsalmon	Subtype	Omentum
B.cells.Om_group_17	green4	Major	Omentum
Fibroblasts.Om_group_1.11.13	chocolate1	Major	Omentum
Mesothelial.cells.Om_group_2.3.4.6.7.8.9.15	red2	Major	Omentum
Endothelial.cells.Om_group_16	magenta	Major	Omentum
HGSOC_ovca_find.markers.14.group.0.2.3.5.6.7	darkviolet	Major	ovarian
