Pathway	Group
PID_RETINOIC_ACID_PATHWAY	Metabolism
HALLMARK_GLYCOLYSIS	Metabolism
HALLMARK_FATTY_ACID_METABOLISM	Metabolism
GO_REGULATION_OF_FATTY_ACID_OXIDATION	Metabolism
HALLMARK_HEME_METABOLISM	Metabolism
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Metabolism
HALLMARK_XENOBIOTIC_METABOLISM	Metabolism
PID_RETINOIC_ACID_PATHWAY	Metabolism
GO_LACTATE_METABOLIC_PROCESS	Metabolism
GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	Metabolism
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Metabolism
GO_FOLATE_IMPORT_ACROSS_PLASMA_MEMBRANE	Metabolism
GO_TETRAHYDROFOLATE_BIOSYNTHETIC_PROCESS	Metabolism
GO_TETRAHYDROFOLATE_METABOLIC_PROCESS	Metabolism
KEGG_FOLATE_BIOSYNTHESIS	Metabolism
WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES	Metabolism
GO_GLUTAMATE_BIOSYNTHETIC_PROCESS	Metabolism
GO_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	Metabolism
GO_PROGESTERONE_BIOSYNTHETIC_PROCESS	Metabolism
WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS	Metabolism
REACTOME_GLUCONEOGENESIS	Metabolism
GO_IRON_IMPORT_INTO_CELL	Metabolism
REACTOME_IRON_UPTAKE_AND_TRANSPORT	Metabolism
GO_ENDOCYTOSIS	CellProcesses_Vesicle
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	CellProcesses_Vesicle
GO_CLATHRIN_DEPENDENT_ENDOCYTOSIS	CellProcesses_Vesicle
KEGG_ENDOCYTOSIS	CellProcesses_Vesicle
GO_CAVEOLIN_MEDIATED_ENDOCYTOSIS	CellProcesses_Vesicle
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	CellProcesses_Vesicle
GO_EXOCYTOSIS	CellProcesses_Vesicle
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	CellProcesses_Vesicle
GO_PHAGOCYTOSIS	CellProcesses_Vesicle
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	CellProcesses_Vesicle
GO_PHAGOCYTIC_VESICLE	CellProcesses_Vesicle
GO_MICROVESICLE	CellProcesses_Vesicle
GO_VESICLE_TETHERING	CellProcesses_Vesicle
GO_SECRETORY_VESICLE	CellProcesses_Vesicle
GO_ENDOCYTIC_VESICLE	CellProcesses_Vesicle
GO_EXOCYTIC_VESICLE	CellProcesses_Vesicle
GO_GOLGI_ASSOCIATED_VESICLE	CellProcesses_Vesicle
GO_GOLGI_VESICLE_TRANSPORT	CellProcesses_Vesicle
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	CellProcesses_Vesicle
GO_ENDOSOMAL_VESICLE_FUSION	CellProcesses_Vesicle
GO_EXTRACELLULAR_VESICLE_BIOGENESIS	CellProcesses_Vesicle
KEGG_LYSOSOME	CellProcesses_Vesicle
GO_PHAGOLYSOSOME	CellProcesses_Vesicle
GO_AUTOLYSOSOME	CellProcesses_Vesicle
GO_LYSOZYME_ACTIVITY	CellProcesses_Vesicle
GO_ENDOLYSOSOME	CellProcesses_Vesicle
GO_MEMBRANE_BIOGENESIS	Cell_Processes
GO_MITOCHONDRION_MORPHOGENESIS	Cell_Processes
KEGG_MELANOGENESIS	Cell_Processes
REACTOME_MELANIN_BIOSYNTHESIS	Cell_Processes
BIOCARTA_INSULIN_PATHWAY	Metabolism_Insulin
GO_CELLULAR_RESPONSE_TO_INSULIN_LIKE_GROWTH_FACTOR_STIMULUS	Metabolism_Insulin
GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	Metabolism_Insulin
GO_INSULIN_LIKE_GROWTH_FACTOR_BINDING	Metabolism_Insulin
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Metabolism_Insulin
GO_INSULIN_METABOLIC_PROCESS	Metabolism_Insulin
GO_INSULIN_RECEPTOR_SIGNALING_PATHWAY	Metabolism_Insulin
GO_INSULIN_SECRETION	Metabolism_Insulin
KEGG_INSULIN_SIGNALING_PATHWAY	Metabolism_Insulin
PID_INSULIN_GLUCOSE_PATHWAY	Metabolism_Insulin
PID_INSULIN_PATHWAY	Metabolism_Insulin
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R_	Metabolism_Insulin
WP_INSULIN_SIGNALLING_IN_HUMAN_ADIPOCYTES_DIABETIC_CONDITION	Metabolism_Insulin
WP_INSULIN_SIGNALLING_IN_HUMAN_ADIPOCYTES_NORMAL_CONDITION	Metabolism_Insulin
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Development
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_	Development
ALONSO_METASTASIS_EMT_UP	Development
EPITHELIAL_PHASE	Development
MESENCHYMAL_PHASE	Development
REACTOME_MYOGENESIS	Development_Genesis
GO_ENDOTHELIAL_CELL_MORPHOGENESIS	Development_Genesis
GO_LYMPH_VESSEL_MORPHOGENESIS	Development_Genesis
GO_LYMPHANGIOGENESIS	Development_Genesis
GO_MESODERM_MORPHOGENESIS	Development_Genesis
GO_MESENCHYME_MORPHOGENESIS	Development_Genesis
